InHappinessId,ExCountryID,happinessRating,gdpPerCapita,socialSupport,healthyLifeExpectancy,freedomLifeChoice,generosity,perceptionOfCorruption,dystopiaResidual,year
1,72,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,2020
2,48,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,2020
3,156,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,2020
4,68,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,2020
5,125,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,2020
6,119,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,2020
7,155,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,2020
8,120,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,2020
9,10,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,2020
10,100,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,2020
11,32,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,2020
12,9,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,2020
13,170,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,2020
14,80,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,2020
15,43,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,2020
16,78,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,2020
17,81,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462,2020
18,171,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,2020
19,47,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2.796808243,2020
20,17,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,2020
21,169,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961,2020
22,107,6.772799969,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062,2020
23,74,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,2020
24,110,6.465000153,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,2020
25,158,6.45539999,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,2.160238743,2020
26,172,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382,2020
27,139,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801,2020
28,150,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432,2020
29,55,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093,2020
30,82,6.38740015,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997,2020
31,143,6.377099991,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746,2020
32,25,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,2020
33,145,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,2020
34,57,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725,2020
35,90,6.325200081,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024,2.736902714,2020
36,128,6.304800034,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147,2020
37,144,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043,2020
38,173,6.257599831,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615,2020
39,36,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867,2020
40,13,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362,2020
41,99,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,2020
42,163,6.191899776,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,2.190695763,2020
43,132,6.186299801,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981,2020
44,38,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609,2020
45,46,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805,2020
46,121,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,2020
47,136,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767,2020
48,91,6.102099895,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999,2020
49,109,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543,2020
50,88,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631,2020
51,63,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112,2020
52,131,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,2020
53,65,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722,2020
54,161,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,2020
